id,name,description,category,is_general_spoiler,is_adult
206,4-koma,"A manga in the 'yonkoma' format, which consists of four equal-sized panels arranged in a vertical strip.",Technical,False,False
710,Achromatic,Contains animation that is primarily done in black and white.,Technical,False,False
156,Achronological Order,Chapters or episodes do not occur in chronological order.,Setting-Time,False,False
548,Acting,Centers around actors or the acting industry.,Theme-Arts,False,False
1052,Adoption,Features a character who has been adopted by someone who is neither of their biological parents.,Theme-Other,False,False
505,Advertisement,Produced in order to promote the products of a certain company.,Technical,False,False
147,Afterlife,Partly or completely set in the afterlife.,Setting-Universe,True,False
138,Age Gap,Prominently features romantic relations between people with a significant age difference.,Theme-Romance,True,False
488,Age Regression,Prominently features a character who was returned to a younger state.,Cast-Traits,False,False
334,Agender,Prominently features agender characters.,Cast-Traits,False,False
909,Agriculture,Prominently features agriculture practices.,Theme-Slice of Life,False,False
279,Ahegao,Features a character making an exaggerated orgasm face.,Sexual Content,False,True
167,Airsoft,Centers around the sport of airsoft.,Theme-Game-Sport,False,False
1291,Alchemy,Features character(s) who practice alchemy.,Theme-Fantasy,False,False
191,Aliens,Prominently features extraterrestrial lifeforms.,Cast-Traits,False,False
146,Alternate Universe,Features multiple alternate universes in the same series.,Setting-Universe,True,False
314,American Football,Centers around the sport of American football.,Theme-Game-Sport,False,False
240,Amnesia,Prominently features a character(s) with memory loss.,Cast-Traits,False,False
652,Amputation,Features amputation or amputees.,Sexual Content,False,True
490,Anachronism,"Prominently features elements that are out of place in the historical period the work takes place in, particularly modern elements in a historical setting.",Setting-Time,False,False
185,Anal Sex,Features sexual penetration of the anal cavity.,Sexual Content,False,True
1068,Angels,Prominently features spiritual beings usually represented with wings and halos and believed to be attendants of God.,Cast-Traits,False,False
433,Animals,Prominently features animal characters in a leading role.,Theme-Other,False,False
471,Anthology,A collection of separate works collated into a single release.,Technical,False,False
1304,Anthropomorphism,Contains non-human character(s) that have attributes or characteristics of a human being.,Cast-Traits,False,False
104,Anti-Hero,Features a protagonist who lacks conventional heroic attributes and may be considered a borderline villain.,Cast-Main Cast,False,False
251,Archery,"Centers around the sport of archery, or prominently features the use of archery in combat.",Theme-Action,False,False
629,Armpits,Features the sexual depiction or stimulation of a character's armpits.,Sexual Content,False,True
517,Artificial Intelligence,Intelligent non-organic machines that work and react similarly to humans.,Cast-Traits,False,False
622,Asexual,Features a character who isn't sexually attracted to people of any sex or gender.,Cast-Traits,False,False
315,Ashikoki,Footjob; features stimulation of genitalia by feet.,Sexual Content,False,True
651,Asphyxiation,Features breath play.,Sexual Content,False,True
322,Assassins,Centers around characters who murder people as a profession.,Theme-Other-Organisations,False,False
623,Astronomy,"Relating or centered around the study of celestial objects and phenomena, space, or the universe.",Theme-Other,False,False
264,Athletics,"Centers around sporting events that involve competitive running, jumping, throwing, or walking.",Theme-Game-Sport,False,False
364,Augmented Reality,Prominently features events with augmented reality as the main setting.,Setting-Universe,False,False
519,Autobiographical,Real stories and anecdotes written by the author about their own life.,Theme-Other,False,False
355,Aviation,Regarding the flying or operation of aircraft.,Theme-Other-Vehicle,False,False
235,Badminton,Centers around the sport of badminton.,Theme-Game-Sport,False,False
110,Band,Main cast is a group of musicians.,Theme-Arts-Music,False,False
161,Bar,Partly or completely set in a bar.,Setting-Scene,False,False
149,Baseball,Centers around the sport of baseball.,Theme-Game-Sport,False,False
192,Basketball,Centers around the sport of basketball.,Theme-Game-Sport,False,False
101,Battle Royale,"Centers around a fierce group competition, often violent and with only one winner.",Theme-Action,False,False
239,Biographical,"Based on true stories of real persons living or dead, written by another.",Theme-Other,False,False
294,Bisexual,Features a character who is romantically or sexually attracted to people of more than one sex or gender.,Theme-Romance,False,False
309,Blackmail,Features a character blackmailing another into performing sexual acts.,Sexual Content,False,True
639,Body Horror,"Features characters who undergo horrific transformations or disfigurement, often to their own detriment.",Theme-Other,False,False
154,Body Swapping,Centers around individuals swapping bodies with one another.,Theme-Fantasy,True,False
246,Bondage,"Features BDSM, with or without the use of accessories.",Sexual Content,False,True
126,Boobjob,Features the stimulation of male genitalia by breasts.,Sexual Content,False,True
169,Boxing,Centers around the sport of boxing.,Theme-Game-Sport,False,False
